"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","157937","test_upgrade_from_edge","tests.integration.ha_tests","Sun Sep 29 01:40:34 UTC 2024","passed","Sun Sep 29 01:43:12 UTC 2024","","test_upgrade","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","801191","test_tls_enabled","tests.integration","Sun Sep 29 01:34:12 UTC 2024","passed","Sun Sep 29 01:47:34 UTC 2024","","test_tls","",""
"","78154","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sun Sep 29 01:48:56 UTC 2024","passed","Sun Sep 29 01:50:14 UTC 2024","","test_self_healing","",""
"Test that the pre-upgrade-check action runs successfully.","2226","test_pre_upgrade_check","tests.integration.ha_tests","Sun Sep 29 01:40:25 UTC 2024","passed","Sun Sep 29 01:40:27 UTC 2024","","test_upgrade_from_stable","",""
"Test promoting the standby cluster.","148405","test_promote_standby","tests.integration.ha_tests","Sun Sep 29 01:59:47 UTC 2024","passed","Sun Sep 29 02:02:16 UTC 2024","","test_async_replication","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","2040868","test_backup_gcp","tests.integration","Sun Sep 29 01:31:52 UTC 2024","broken","Sun Sep 29 02:05:53 UTC 2024","","test_backups","",""
"","114884","test_legacy_endpoint_with_multiple_related_endpoints","tests.integration.relations","Sun Sep 29 01:35:51 UTC 2024","passed","Sun Sep 29 01:37:46 UTC 2024","","test_relations","",""
"Test basic functionality of database relation interface.","2085","test_database_relation_with_charm_libraries","tests.integration.new_relations","Sun Sep 29 01:46:53 UTC 2024","passed","Sun Sep 29 01:46:55 UTC 2024","","test_new_relations","",""
"Build and deploy two PostgreSQL clusters.","686730","test_build_and_deploy","tests.integration.ha_tests","Sun Sep 29 01:31:22 UTC 2024","passed","Sun Sep 29 01:42:49 UTC 2024","","test_restore_cluster","",""
"","2189","test_postgresql_locales","tests.integration","Sun Sep 29 01:40:59 UTC 2024","passed","Sun Sep 29 01:41:01 UTC 2024","","test_charm","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Sun Sep 29 01:57:26 UTC 2024","skipped","Sun Sep 29 01:57:26 UTC 2024","","test_smoke","",""
"","1024","test_get_data_integrator_credentials","tests.integration.ha_tests","Sun Sep 29 01:51:18 UTC 2024","passed","Sun Sep 29 01:51:19 UTC 2024","","test_async_replication","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","640661","test_plugins","tests.integration","Sun Sep 29 01:32:28 UTC 2024","passed","Sun Sep 29 01:43:09 UTC 2024","","test_plugins","",""
"Test that the admin role gives access to all the databases.","155187","test_admin_role","tests.integration.new_relations","Sun Sep 29 02:02:07 UTC 2024","passed","Sun Sep 29 02:04:42 UTC 2024","","test_new_relations","",""
"","78195","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Sun Sep 29 01:47:37 UTC 2024","passed","Sun Sep 29 01:48:55 UTC 2024","","test_self_healing","",""
"Test that an application can request additional databases using the same interface.","24429","test_an_application_can_request_multiple_databases","tests.integration.new_relations","Sun Sep 29 01:50:13 UTC 2024","passed","Sun Sep 29 01:50:38 UTC 2024","","test_new_relations","",""
"Test that there is read-only endpoint in a scaled up cluster.","323772","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","Sun Sep 29 01:41:29 UTC 2024","passed","Sun Sep 29 01:46:53 UTC 2024","","test_new_relations","",""
"","4","test_database_is_up[2]","tests.integration","Sun Sep 29 01:40:54 UTC 2024","passed","Sun Sep 29 01:40:54 UTC 2024","","test_charm","",""
